kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-cluster-count,recipes_40,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 40, ""rho"": 0.061}",4000,20260960,0.95975,0.003107649332695052,0.78325,0.00225,0.2862789269682875,undefined_present
snap-r6-cluster-count,recipes_40,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 40, ""rho"": 0.061}",4000,20260960,0.9495,0.003462287899640929,0.9445,0.0,0.24058349752682673,all_defined
snap-r6-cluster-count,recipes_60,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 60, ""rho"": 0.061}",4000,20260960,0.946,0.0035736535926135893,1.0,0.0,0.1524060716085065,all_defined
snap-r6-cluster-count,recipes_60,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 60, ""rho"": 0.061}",4000,20260960,0.94625,0.003565842729986839,1.0,0.0,0.15229156986310644,all_defined
snap-r6-cluster-count,recipes_60,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 60, ""rho"": 0.061}",4000,20260960,0.95775,0.003180602832011567,0.88775,0.0005,0.23087929949989916,undefined_present
snap-r6-cluster-count,recipes_60,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 60, ""rho"": 0.061}",4000,20260960,0.94525,0.0035969583504677936,0.99475,0.0,0.19406078986601905,all_defined
snap-r6-corner-remedy,band_0.044,wild_recipe,1.2445882853377657,{},12000,20260954,0.942,0.002133775995740885,,0.0,0.24141825940925532,all_defined
snap-r6-corner-remedy,band_0.044,wild_size,1.2445882853377657,{},12000,20260954,0.94925,0.0020036308188719123,,0.0075,0.36190489142675286,undefined_present
snap-r6-corner-remedy,band_0.044,cluster_t_recipe,1.2445882853377657,{},12000,20260954,0.9416666666666667,0.0021395201088786936,,0.0,0.24055652942386474,all_defined
snap-r6-corner-remedy,band_0.044,cluster_t_size,1.2445882853377657,{},12000,20260954,0.9465833333333333,0.0020527080972236184,,0.0,0.30711886163161034,all_defined
snap-r6-corner-remedy,band_0.044,wild_recipe_cr3,1.2445882853377657,{},12000,20260954,0.9499166666666666,0.0019911260016959326,,0.0,0.2522951303815616,all_defined
snap-r6-corner-remedy,band_0.044,wild_size_cr3,1.2445882853377657,{},12000,20260954,0.9551666666666667,0.00188907617535564,,0.023833333333333335,0.4513994460358103,undefined_present
snap-r6-corner-remedy,joint_bound,wild_recipe,1.2445882853377657,{},12000,20260954,0.9455,0.0020722320896398964,,0.0,0.24486124468152481,all_defined
snap-r6-corner-remedy,joint_bound,wild_size,1.2445882853377657,{},12000,20260954,0.9499166666666666,0.0019911260016959326,,0.006833333333333334,0.36186108590793975,undefined_present
snap-r6-corner-remedy,joint_bound,cluster_t_recipe,1.2445882853377657,{},12000,20260954,0.9448333333333333,0.002084132624449869,,0.0,0.24419941960729075,all_defined
snap-r6-corner-remedy,joint_bound,cluster_t_size,1.2445882853377657,{},12000,20260954,0.9460833333333334,0.002061748039128896,,0.0,0.30375340584769883,all_defined
snap-r6-corner-remedy,joint_bound,wild_recipe_cr3,1.2445882853377657,{},12000,20260954,0.9543333333333334,0.0019057199475574884,,0.0,0.25585916312020884,all_defined
snap-r6-corner-remedy,joint_bound,wild_size_cr3,1.2445882853377657,{},12000,20260954,0.953,0.0019319894754716799,,0.024666666666666667,0.4505022184259631,undefined_present
snap-r6-crosshalf-bias,leak_0.00,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.0, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.939,0.003784144553264319,0.96675,0.0,0.2423359933963648,all_defined
snap-r6-crosshalf-bias,leak_0.00,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.0, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.93975,0.0037623110417667497,0.967,0.0,0.2415779335700905,all_defined
snap-r6-crosshalf-bias,leak_0.00,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.0, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94825,0.0035025682541529424,0.62675,0.008,0.3617543167462345,undefined_present
